NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Jeremy Evans,UTH,4.0,66,1209,0.334,0.145,3.6,1.4,15.9,12.3,1.7
Kendrick Perkins,OKC,5.0,62,1207,0.187,-0.003,-0.1,-3.2,8.4,12.1,2.7
Steven Adams,OKC,5.0,81,1197,0.323,0.133,3.3,1.1,10.6,13.3,1.7
C.J. Watson,IND,1.0,63,1193,0.245,0.164,4.1,2.0,16.7,4.1,4.3
Kyle O'Quinn,ORL,5.0,69,1188,0.324,0.134,3.3,1.1,17.3,14.7,3.2
Andrew Nicholson,ORL,4.0,76,1174,0.099,-0.091,-2.2,-5.9,17.8,10.4,1.0
Nick Calathes,MEM,2.0,71,1173,0.19,0.108,2.6,0.3,14.2,5.6,8.5
Darrell Arthur,DEN,4.0,68,1161,0.073,-0.117,-2.8,-6.7,16.6,8.7,2.5
Elliot Williams,PHI,1.0,67,1157,0.068,-0.013,-0.3,-3.5,16.8,5.4,3.0
Jrue Holiday,NOR,1.0,34,1143,0.184,0.103,2.5,0.1,20.5,6.0,11.3
Luke Ridnour,"MIL, CHA",2.0,61,1141,0.09,0.008,0.2,-2.8,12.9,4.1,7.4
Phil Pressey,BOS,1.0,75,1132,0.151,0.07,1.6,-0.9,9.0,4.5,10.2
Gary Neal,"MIL, CHA",1.5,52,1114,0.059,-0.022,-0.5,-3.8,23.6,3.9,3.6
Kevin Garnett,BRK,5.0,54,1109,0.255,0.066,1.5,-1.0,15.2,15.5,3.5
Robert Sacre,LAL,5.0,65,1089,0.212,0.023,0.5,-2.4,15.4,11.2,2.2
Francisco Garcia,HOU,3.0,55,1083,0.14,0.058,1.3,-1.3,14.0,5.4,2.8
Brandan Wright,DAL,5.0,58,1077,0.475,0.286,6.4,5.8,23.4,10.9,1.4
Bismack Biyombo,CHA,5.0,77,1072,0.436,0.246,5.5,4.6,9.9,16.4,0.4
Lavoy Allen,"PHI, IND",4.5,65,1072,0.279,0.089,2.0,-0.3,13.6,13.9,3.2
Travis Outlaw,SAC,3.5,63,1065,0.157,0.024,0.5,-2.3,15.5,7.6,2.2
Will Bynum,DET,1.0,56,1054,0.078,-0.003,-0.1,-3.2,22.1,4.5,9.8
Tyler Zeller,CLE,4.5,70,1049,0.312,0.122,2.7,0.7,18.3,12.9,1.6
Diante Garrett,UTH,1.0,71,1048,0.069,-0.012,-0.3,-3.4,11.4,4.4,5.5
Jordan Hamilton,(3+),2.9,61,1023,0.193,0.111,2.4,0.4,19.0,9.1,2.4
Alonzo Gee,CLE,3.0,65,1020,0.159,0.077,1.6,-0.7,12.1,7.0,2.2
Chris Douglas-Roberts,CHA,2.0,49,1016,0.237,0.155,3.3,1.8,16.0,5.6,2.4
Greg Stiemsma,NOR,4.0,55,1007,0.272,0.082,1.7,-0.5,7.6,10.8,1.7
Ishmael Smith,PHO,1.0,70,1006,0.192,0.111,2.3,0.4,12.5,6.2,8.5
Luc Mbah a Moute,"SAC, MIN",3.4,64,1003,0.191,0.098,2.1,0.0,10.7,7.0,1.7
Rajon Rondo,BOS,1.0,30,998,0.227,0.146,3.0,1.5,16.8,7.9,14.1
J.J. Redick,LAC,2.0,35,987,0.195,0.113,2.3,0.4,25.9,3.6,3.8
C.J. Miles,CLE,3.0,51,984,0.181,0.099,2.0,0.0,24.5,5.0,2.5
Dorell Wright,POR,3.2,68,984,0.224,0.12,2.5,0.7,16.7,9.3,3.1
Marreese Speights,GSW,5.0,79,982,0.18,-0.009,-0.2,-3.4,24.8,14.2,1.6
Andre Miller,"DEN, WAS",1.7,58,982,0.268,0.186,3.8,2.7,13.8,6.4,9.6
Tyler Hansbrough,TOR,5.0,64,978,0.364,0.174,3.6,2.3,15.3,14.1,0.8
Rashard Lewis,MIA,4.1,60,971,0.192,0.002,0.0,-3.0,13.2,5.4,2.8
Omer Asik,HOU,5.0,48,968,0.398,0.208,4.2,3.4,13.9,18.7,1.2
Jeff Adrien,"CHA, MIL",3.6,53,961,0.376,0.199,4.0,3.1,18.1,15.3,1.9
Al Horford,ATL,4.8,29,958,0.361,0.172,3.4,2.3,27.0,12.2,3.8
James Johnson,MEM,4.0,52,956,0.313,0.124,2.5,0.8,19.3,8.3,5.6
Ed Davis,MEM,4.0,63,956,0.316,0.127,2.5,0.9,17.9,13.1,1.4
Donatas Motiejunas,HOU,4.0,62,952,0.155,-0.035,-0.7,-4.2,17.2,11.3,1.7
Jeff Ayres,SAS,5.0,73,952,0.301,0.111,2.2,0.4,12.1,13.0,3.0
Alexis Ajinca,NOR,5.0,56,951,0.277,0.087,1.7,-0.4,16.6,14.0,2.0
Cory Joseph,SAS,1.4,68,936,0.245,0.163,3.2,2.0,17.6,5.5,5.8
Pero Antic,ATL,5.0,50,925,0.186,-0.004,-0.1,-3.2,18.3,10.8,3.0
Jordan Farmar,LAL,1.0,41,912,0.155,0.074,1.4,-0.8,21.9,5.5,10.5
Kent Bazemore,"GSW, LAL",1.3,67,911,0.063,-0.018,-0.4,-3.7,21.2,6.2,4.8
Xavier Henry,LAL,2.5,43,908,0.066,-0.015,-0.3,-3.6,22.8,6.0,2.7
Reggie Evans,"BRK, SAC",4.0,54,899,0.359,0.169,3.2,2.2,11.4,17.8,1.1
Ray McCallum,SAC,1.0,45,897,0.077,-0.004,-0.1,-3.2,15.0,4.2,6.4
Jermaine O'Neal,GSW,5.0,44,883,0.324,0.135,2.5,1.1,19.0,13.2,1.4
Henry Sims,"CLE, PHI",5.0,46,875,0.309,0.119,2.2,0.6,19.2,13.0,2.9
Thomas Robinson,POR,5.0,70,873,0.272,0.082,1.5,-0.5,18.6,16.9,1.9
Cartier Martin,"ATL, CHI",2.8,59,870,0.157,0.075,1.4,-0.7,18.2,6.1,1.8
Willie Green,"ORL, LAC",2.0,55,869,0.037,-0.045,-0.8,-4.5,15.1,4.3,2.8
Nate Robinson,DEN,1.5,44,866,0.134,0.053,1.0,-1.4,25.3,4.5,6.2
Andrei Kirilenko,BRK,4.0,45,857,0.27,0.081,1.4,-0.6,12.7,8.2,4.0
Quincy Acy,"TOR, SAC",4.0,63,847,0.288,0.099,1.7,0.0,9.7,12.2,1.6
Danny Granger,(3+),3.2,41,847,0.138,0.031,0.6,-2.1,19.2,7.5,2.3
Michael Beasley,MIA,4.0,55,831,0.183,-0.007,-0.1,-3.3,25.2,9.9,2.4
Jason Smith,NOR,5.0,31,830,0.156,-0.034,-0.6,-4.1,17.4,10.5,1.7
Devin Harris,DAL,1.0,40,818,0.162,0.081,1.4,-0.6,18.5,5.0,10.4
Gorgui Dieng,MIN,5.0,60,818,0.404,0.215,3.7,3.6,16.8,17.6,2.3
Ekpe Udoh,MIL,5.0,42,804,0.164,-0.026,-0.4,-3.9,8.6,8.8,1.9
Ryan Anderson,NOR,4.8,22,795,0.252,0.062,1.0,-1.1,26.3,8.6,1.0
Quincy Miller,DEN,4.0,52,789,0.097,-0.093,-1.5,-6.0,15.6,8.9,1.6
Jan Vesely,"WAS, DEN",4.0,54,776,0.314,0.125,2.0,0.8,12.2,11.8,1.3
Earl Clark,(3+),3.6,54,768,0.11,-0.042,-0.7,-4.4,16.1,8.9,1.1
Perry Jones,OKC,4.0,62,764,0.208,0.018,0.3,-2.5,13.6,7.2,1.6
Chuck Hayes,"SAC, TOR",4.0,61,754,0.32,0.13,2.0,1.0,8.4,13.4,2.2
Chase Budinger,MIN,2.0,41,751,0.114,0.032,0.5,-2.1,17.5,6.6,2.0
Shawne Williams,LAL,4.0,36,751,0.183,-0.006,-0.1,-3.3,12.9,10.7,1.9
Jonas Jerebko,DET,4.0,64,741,0.253,0.063,1.0,-1.1,17.5,11.3,2.5
Chris Kaman,LAL,5.0,39,736,0.19,0.001,0.0,-3.1,26.3,14.9,3.8
Joel Freeland,POR,4.4,52,727,0.296,0.107,1.6,0.2,11.5,13.7,2.4
Darius Miller,NOR,3.0,45,723,0.11,0.028,0.4,-2.2,13.3,3.5,2.9
Doron Lamb,ORL,2.0,53,695,0.098,0.016,0.2,-2.6,13.2,3.4,3.0
Matt Bonner,SAS,4.0,61,690,0.275,0.086,1.2,-0.4,13.7,9.0,2.2
Jeff Withey,NOR,5.0,58,684,0.344,0.154,2.2,1.7,13.3,10.5,1.8
Toney Douglas,"GSW, MIA",1.0,51,675,0.112,0.031,0.4,-2.1,14.4,6.2,4.8
Alexey Shved,MIN,2.0,63,664,0.076,-0.006,-0.1,-3.3,18.1,5.9,4.9
Anthony Bennett,CLE,3.5,52,663,0.041,-0.094,-1.3,-6.0,15.7,11.2,1.2
Robbie Hummel,MIN,3.5,53,655,0.208,0.072,1.0,-0.8,13.3,9.7,1.7
Udonis Haslem,MIA,4.0,46,653,0.242,0.053,0.7,-1.4,12.7,12.9,1.0
Beno Udrih,"NYK, MEM",1.0,41,643,0.178,0.097,1.3,-0.1,14.9,4.4,8.7
Jon Leuer,MEM,4.5,49,642,0.295,0.105,1.4,0.2,22.6,11.8,1.5
Dennis Schroeder,ATL,1.0,49,641,-0.02,-0.101,-1.3,-6.2,13.7,4.5,7.0
Garrett Temple,WAS,1.9,75,638,0.12,0.038,0.5,-1.9,10.4,5.1,5.4
Kenyon Martin,NYK,4.6,32,633,0.289,0.099,1.3,0.0,10.4,10.2,3.8
Jeff Taylor,CHA,2.9,26,629,-0.018,-0.1,-1.3,-6.2,15.9,4.6,1.7
Ronny Turiaf,MIN,5.0,31,606,0.397,0.207,2.6,3.4,11.8,13.8,1.9
John Lucas,UTH,1.0,42,591,-0.034,-0.115,-1.4,-6.7,12.9,3.2,3.4
