Year,name,team,position,games_played,minutes,adjusted_plus_minus_per_48,wins_produced_per_48,wins_produced,points_over_par_per_48,points_per_48,rebounds_per_48,assists_per_48
2005,Kyle Korver,PHI,2.7,82,2420.0,0.152,0.084,4.2,-0.5,18.6,5.4,3.2
2005,Zach Randolph,POR,4.3,74,2405.0,0.11,-0.044,-2.2,-4.5,26.6,11.8,2.9
2005,Troy Murphy,GSW,4.5,74,2394.0,0.289,0.135,6.7,1.1,20.8,14.9,2.0
2005,Luke Ridnour,OKC,1.0,79,2384.0,0.209,0.139,6.9,1.3,18.3,4.7,11.1
2005,Andrei Kirilenko,UTH,3.2,69,2380.0,0.398,0.311,15.4,6.6,21.3,11.1,6.0
2005,Jamal Crawford,NYK,1.8,79,2374.0,0.169,0.101,5.0,0.0,22.8,5.0,6.1
2005,Josh Smith,ATL,3.7,80,2371.0,0.241,0.111,5.5,0.4,18.3,10.7,3.9
2005,Juwan Howard,HOU,4.4,80,2355.0,0.173,0.019,0.9,-2.5,19.2,10.9,2.3
2005,Bobby Simmons,MIL,3.3,75,2350.0,0.192,0.1,4.9,0.0,20.5,6.8,3.5
2005,David West,NOR,4.0,74,2345.0,0.279,0.125,6.1,0.8,25.8,11.2,1.9
2005,Udonis Haslem,MIA,4.2,81,2342.0,0.31,0.156,7.6,1.8,15.5,13.0,1.9
2005,Nenad Krstic,BRK,5.0,80,2340.0,0.205,0.051,2.5,-1.5,22.2,10.5,1.8
2005,Ben Gordon,CHI,2.2,80,2336.0,0.085,0.017,0.8,-2.5,27.7,4.5,4.9
2005,T.J. Ford,MIL,1.0,72,2322.0,0.16,0.09,4.4,-0.3,18.2,6.4,9.8
2005,Trenton Hassell,MIN,2.4,77,2317.0,0.121,0.053,2.6,-1.4,14.7,4.5,4.2
2005,Charlie Villanueva,TOR,3.7,81,2291.0,0.206,0.076,3.6,-0.7,22.1,10.9,1.8
2005,Steve Francis,"NYK, ORL",1.1,70,2288.0,0.152,0.082,3.9,-0.5,21.1,6.1,7.2
2005,Eddie Jones,MEM,2.2,75,2285.0,0.234,0.166,7.9,2.1,18.6,5.9,3.7
2005,Jamaal Magloire,MIL,5.0,82,2279.0,0.236,0.082,3.9,-0.5,15.8,16.4,1.2
2005,Zaza Pachulia,ATL,4.8,78,2253.0,0.257,0.103,4.8,0.1,19.4,13.1,2.7
2005,Delonte West,BOS,1.1,71,2248.0,0.26,0.191,8.9,2.9,17.9,6.2,7.0
2005,Brevin Knight,CHA,1.0,69,2224.0,0.233,0.163,7.6,2.0,18.8,4.8,13.2
2005,Rafer Alston,HOU,1.0,63,2209.0,0.166,0.097,4.5,-0.1,16.5,5.5,9.2
2005,P.J. Brown,NOR,5.0,75,2207.0,0.265,0.11,5.1,0.4,14.7,11.9,2.0
2005,Ron Artest,"IND, SAC",2.9,56,2207.0,0.15,0.082,3.8,-0.5,21.4,6.2,4.4
2005,Raymond Felton,CHA,1.4,80,2199.0,0.152,0.083,3.8,-0.5,20.7,5.8,9.7
2005,Deron Williams,UTH,1.4,80,2198.0,0.093,0.025,1.1,-2.3,18.9,4.2,7.8
2005,Gary Payton,MIA,1.1,81,2186.0,0.171,0.102,4.7,0.1,13.7,5.1,5.6
2005,Eric Snow,CLE,1.3,82,2181.0,0.138,0.069,3.1,-0.9,8.6,4.4,7.6
2005,Andrew Bogut,MIL,4.6,82,2171.0,0.322,0.168,7.6,2.1,17.0,12.7,4.2
2005,David Wesley,HOU,2.0,71,2154.0,0.13,0.062,2.8,-1.2,15.6,4.0,4.5
2005,Kenny Thomas,SAC,4.0,82,2131.0,0.334,0.18,8.0,2.5,16.8,13.9,3.8
2005,Zydrunas Ilgauskas,CLE,5.0,78,2130.0,0.34,0.186,8.2,2.7,27.4,13.3,2.1
2005,Luther Head,HOU,1.5,80,2109.0,0.175,0.107,4.7,0.2,16.1,6.1,4.9
2005,Andres Nocioni,CHI,3.7,82,2102.0,0.257,0.128,5.6,0.9,24.3,11.4,2.7
2005,Antonio Daniels,WAS,1.0,79,2097.0,0.212,0.143,6.2,1.4,17.6,3.9,6.5
2005,Mike Miller,MEM,2.5,74,2097.0,0.276,0.208,9.1,3.4,23.2,9.1,4.6
2005,Tony Battie,ORL,4.1,82,2079.0,0.232,0.078,3.4,-0.7,15.0,10.6,1.1
2005,Mark Blount,"BOS, MIN",4.8,81,2071.0,0.122,-0.032,-1.4,-4.1,21.2,8.5,2.3
2005,Antoine Walker,MIA,3.7,82,2070.0,0.16,0.033,1.4,-2.0,23.2,9.8,3.8
2005,Josh Childress,ATL,1.6,74,2070.0,0.329,0.261,11.3,5.0,17.2,9.0,3.0
2005,Tyson Chandler,CHI,5.0,79,2057.0,0.415,0.261,11.2,5.0,9.7,16.7,1.9
2005,Drew Gooden,CLE,4.6,79,2048.0,0.368,0.213,9.1,3.6,19.8,15.6,1.3
2005,Chris Duhon,CHI,1.0,74,2034.0,0.254,0.185,7.8,2.7,15.3,5.2,8.8
2005,Primoz Brezec,CHA,5.0,79,1965.0,0.212,0.058,2.4,-1.3,24.0,10.7,1.1
2005,Shareef Abdur-Rahim,SAC,4.4,72,1961.0,0.256,0.101,4.1,0.1,21.7,8.7,3.6
2005,Damon Jones,CLE,1.0,82,1956.0,0.146,0.076,3.1,-0.7,13.5,3.3,4.1
2005,Stephon Marbury,NYK,1.0,60,1955.0,0.16,0.09,3.7,-0.3,24.0,4.3,9.4
2005,Yao Ming,HOU,5.0,57,1949.0,0.364,0.209,8.5,3.4,31.3,14.3,2.1
2005,Donyell Marshall,CLE,4.0,81,1946.0,0.241,0.086,3.5,-0.4,18.5,12.1,1.5
2005,Raef LaFrentz,BOS,4.5,82,1939.0,0.222,0.068,2.8,-1.0,15.8,10.1,2.8
2005,John Salmons,PHI,2.5,82,1934.0,0.113,0.045,1.8,-1.7,15.4,5.5,5.5
2005,Desmond Mason,NOR,2.7,70,1930.0,0.034,-0.034,-1.4,-4.1,18.8,7.4,1.6
2005,Ronald Murray,"CLE, OKC",2.2,76,1928.0,0.024,-0.044,-1.8,-4.4,21.2,3.8,4.9
2005,Jumaine Jones,CHA,3.1,76,1915.0,0.161,0.084,3.3,-0.5,20.0,9.4,1.6
2005,Marko Jaric,MIN,2.5,75,1912.0,0.169,0.101,4.0,0.1,14.7,5.8,7.4
2005,Michael Finley,SAS,2.8,77,1910.0,0.169,0.102,4.0,0.1,19.6,6.2,2.9
2005,Jalen Rose,"NYK, TOR",2.9,72,1878.0,0.101,0.034,1.3,-2.0,22.7,5.4,4.6
2005,Speedy Claxton,NOR,1.0,71,1863.0,0.14,0.07,2.7,-0.9,22.4,5.0,8.7
2005,Marcus Camby,DEN,4.9,56,1857.0,0.406,0.252,9.7,4.7,18.5,17.3,3.0
2005,Erick Dampier,DAL,5.0,82,1838.0,0.375,0.22,8.4,3.8,12.2,16.7,1.3
2005,Baron Davis,GSW,1.2,54,1820.0,0.215,0.146,5.5,1.5,25.5,6.2,12.7
2005,Anthony Johnson,IND,1.0,75,1809.0,0.199,0.129,4.9,0.9,18.3,4.5,8.6
2005,Juan Dixon,POR,1.5,76,1809.0,0.047,-0.021,-0.8,-3.7,24.8,4.7,4.0
2005,Matt Harpring,UTH,2.5,71,1807.0,0.221,0.154,5.8,1.7,23.5,9.8,2.6
2005,Jared Jeffries,WAS,4.0,77,1805.0,0.251,0.099,3.7,0.0,13.0,10.1,3.9
2005,Marvin Williams,ATL,3.0,79,1801.0,0.178,0.11,4.1,0.3,17.9,10.2,1.7
2005,Kwame Brown,LAL,5.0,72,1782.0,0.291,0.137,5.1,1.2,14.4,12.7,1.9
2005,Vladimir Radmanovic,"LAC, OKC",3.2,77,1777.0,0.201,0.112,4.1,0.4,20.4,9.7,3.7
2005,Kevin Martin,SAC,2.0,72,1772.0,0.248,0.18,6.6,2.5,21.1,7.1,2.6
2005,Rasual Butler,NOR,2.5,79,1772.0,0.101,0.034,1.2,-2.0,18.6,6.3,1.1
2005,Clifford Robinson,BRK,4.2,80,1771.0,0.155,0.001,0.0,-3.1,14.9,7.2,2.4
2005,Keith Bogans,"CHA, HOU",2.8,72,1770.0,0.142,0.074,2.7,-0.8,16.9,6.9,3.5
2005,Marquis Daniels,DAL,2.5,62,1766.0,0.207,0.139,5.1,1.3,17.2,6.1,4.7
2005,Adonal Foyle,GSW,5.0,77,1755.0,0.29,0.136,5.0,1.1,9.4,11.6,0.9
2005,James Posey,MIA,3.0,67,1755.0,0.225,0.158,5.8,1.8,13.2,8.7,2.4
2005,Jason Collins,BRK,4.5,71,1754.0,0.179,0.025,0.9,-2.3,7.0,9.4,1.9
2005,Jason Williams,MIA,1.0,59,1751.0,0.198,0.129,4.7,0.9,20.0,3.8,7.9
