0,1,2,3,4,5,6,7,8
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Gasol,36%,22.5,16.7,+5.8,-1.5,-8.8,+7.3,+6.4
Miller,62%,18.3,16.5,+1.8,-4.9,-8.3,+3.4,+2.4
Crittenton,13%,12.6,13.6,-1.0,-0.1,-7.1,+7.0,+2.2
Kinsey,2%,11.9,15.1,-3.2,+2.0,-6.4,+8.4,+1.4
Swift,14%,17.7,18.3,-0.6,-4.5,-6.4,+1.9,+0.4
Lowry,53%,16.1,18.8,-2.7,-4.4,-8.1,+3.7,-0.2
Gay,76%,19.7,17.4,+2.2,-7.8,-0.9,-6.9,-1.4
Jones,3%,13.7,21.4,-7.8,+1.4,-6.4,+7.8,-1.5
Navarro,53%,13.6,15.4,-1.8,-6.8,-5.4,-1.5,-1.7
Stoudamire,16%,13.3,18.9,-5.6,-2.6,-6.8,+4.2,-1.7
K.Brown,5%,12.6,19.7,-7.2,-2.2,-6.4,+4.2,-2.6
Cardinal,11%,8.6,20.0,-11.4,+1.2,-7.1,+8.3,-3.5
Jacobsen,14%,5.3,18.5,-13.2,+2.3,-7.5,+9.8,-4.0
Conley,35%,14.3,18.1,-3.8,-9.9,-4.1,-5.8,-4.6
Warrick,44%,18.3,20.6,-2.3,-12.8,-0.9,-12.0,-6.2
A.Brown,7%,15.0,23.0,-8.1,-11.8,-5.7,-6.1,-7.3
Milicic,42%,12.5,22.0,-9.5,-8.5,-4.5,-4.0,-7.3
Collins,12%,6.1,21.2,-15.1,-7.4,-6.0,-1.4,-9.6
Richardson,0%,-19.5,14.8,-34.2,-56.0,-6.0,-50.0,-40.5
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Wade,49%,24.3,16.5,+7.8,-6.4,-10.8,+4.4,+6.5
Mourning,10%,18.0,14.1,+3.9,-2.8,-9.2,+6.4,+4.9
O'Neal,24%,19.8,16.4,+3.4,-4.4,-9.9,+5.6,+4.3
Banks,7%,17.5,17.0,+0.6,-5.2,-8.9,+3.6,+1.8
Marion,15%,19.4,19.2,+0.2,-7.3,-8.9,+1.6,+0.8
Quinn,34%,15.7,17.4,-1.7,-6.0,-10.0,+4.0,+0.6
Wright,28%,16.2,18.3,-2.1,-6.8,-9.3,+2.5,-0.3
Jackson,6%,10.7,15.0,-4.3,-3.4,-8.9,+5.6,-0.3
Lasme,8%,13.0,15.9,-2.9,-5.7,-8.9,+3.2,-0.5
Hardaway,8%,10.3,16.1,-5.8,-4.7,-9.0,+4.2,-1.8
Haslem,46%,14.4,18.9,-4.4,-8.9,-8.4,-0.5,-2.8
Powell,8%,10.5,13.4,-2.9,-11.2,-8.4,-2.8,-2.9
Davis,75%,13.7,17.3,-3.5,-9.6,-5.6,-4.0,-3.7
Williams,48%,14.5,18.5,-4.1,-10.7,-6.8,-3.9,-4.0
Jones,4%,12.6,20.1,-7.5,-8.7,-8.6,-0.1,-4.5
Blount,39%,13.1,19.8,-6.7,-10.1,-7.7,-2.5,-5.0
Parker,5%,6.5,14.3,-7.8,-10.2,-8.5,-1.7,-5.3
Johnson,14%,10.2,18.4,-8.2,-10.8,-8.3,-2.5,-5.9
Cook,36%,9.4,18.4,-9.1,-10.4,-7.6,-2.9,-6.6
Barron,22%,10.9,20.1,-9.2,-11.3,-7.8,-3.5,-6.9
Anthony,13%,9.8,18.8,-9.0,-12.9,-8.0,-4.9,-7.4
Ahearn,4%,10.2,22.3,-12.1,-20.6,-8.1,-12.5,-12.3
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Redd,68%,21.2,14.1,+7.1,-6.6,-7.4,+0.8,+4.6
Bogut,68%,19.6,18.1,+1.5,-6.2,-8.3,+2.1,+1.7
Williams,61%,19.1,19.2,-0.1,-6.7,-7.0,+0.3,+0.1
Mason,43%,14.0,17.5,-3.5,-4.8,-8.4,+3.6,-0.7
Ruffin,16%,13.3,19.3,-5.9,-2.3,-7.7,+5.4,-1.4
Sessions,11%,18.6,23.1,-4.5,-5.3,-7.0,+1.8,-2.0
Bell,41%,12.5,15.5,-3.1,-7.3,-6.6,-0.7,-2.1
Yi,42%,12.9,16.9,-4.0,-6.9,-6.8,-0.0,-2.4
